gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken
all,all,all,DE,3226,2146.418,0.5452902088544045,0.22225712604105924,0.23245266510453752,0
all,all,all,FR,3183,2541.653,0.3289112583802609,0.3788116407541037,0.2922771008656362,0
all,all,all,GB,3041,2144.169,0.7333786010066295,0.12302646137685667,0.14359493761651326,0
all,all,all,IN,2910,918.167,0.7247693927543829,0.12042591957701436,0.1548046876686054,0
all,all,all,IT,3081,2077.23,0.6381198124693263,0.13981425637814998,0.2220659311525232,0
all,all,all,JP,2849,1426.518,0.42857658616019334,0.15333925419395056,0.41808415964585516,0
all,all,all,BD,2882,705.386,0.8044384846336854,0.07898292447566248,0.11657859089065555,0
all,all,all,MX,3034,1742.001,0.7186304397013726,0.0924292835189365,0.18894027677969413,0
all,all,all,PH,3107,1487.88,0.46970554290960925,0.21936090029399669,0.31093355679639434,0
all,all,all,RO,3253,1798.955,0.4687652070735654,0.2898955876588443,0.24133920526759126,0
all,all,all,RO,3253,1798.955,0.4687652070735654,0.2898955876588443,0.24133920526759126,0
all,all,all,TR,3029,1485.206,0.4601274860868039,0.25917971456085326,0.28069279935234465,0
all,all,all,TH,3093,1815.274,0.7977175536866207,0.08333390797838794,0.1189485383349954,0
all,all,all,US,2986,1798.732,0.5748225844037971,0.20742371299440354,0.21775370260180216,0
all,all,all,VN,2969,1103.289,0.7977201309314631,0.06827944290165877,0.13400042616688065,0